"By city and province",2020.01,2020.01,2020.01,2020.02,2020.02,2020.02,2020.03,2020.03,2020.03,2020.04,2020.04,2020.04,2020.05,2020.05,2020.05,2020.06,2020.06,2020.06,2020.07,2020.07,2020.07,2020.08,2020.08,2020.08,2020.09,2020.09,2020.09,2020.10,2020.10,2020.10,2020.11,2020.11,2020.11,2020.12,2020.12,2020.12,2021.01,2021.01,2021.01,2021.02,2021.02,2021.02,2021.03,2021.03,2021.03,2021.04,2021.04,2021.04,2021.05,2021.05,2021.05,2021.06,2021.06,2021.06,2021.07,2021.07,2021.07,2021.08,2021.08,2021.08,2021.09,2021.09,2021.09,2021.10,2021.10,2021.10,2021.11,2021.11,2021.11,2021.12,2021.12,2021.12,2022.01,2022.01,2022.01,2022.02,2022.02,2022.02,2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05,2022.06,2022.06,2022.06,2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09,2022.10,2022.10,2022.10,2022.11,2022.11,2022.11,2022.12,2022.12,2022.12,2023.01,2023.01,2023.01,2023.02,2023.02,2023.02,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.06,2023.06,2023.06,2023.07,2023.07,2023.07,2023.08,2023.08,2023.08,2023.09,2023.09,2023.09,2023.10,2023.10,2023.10,2023.11,2023.11,2023.11,2023.12,2023.12,2023.12,2024.01,2024.01,2024.01,2024.02,2024.02,2024.02,2024.03,2024.03,2024.03,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.12,2024.12,2024.12,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.05,2025.05,2025.05,2025.06,2025.06,2025.06,2025.07,2025.07,2025.07,2025.08,2025.08,2025.08,2025.09,2025.09,2025.09,2025.10,2025.10,2025.10,2025.11,2025.11,2025.11,2025.12,2025.12,2025.12,2026.01,2026.01,2026.01,2026.02,2026.02,2026.02,2026.03 p),2026.03 p),2026.03 p),2026.04 p),2026.04 p),2026.04 p)
"By city and province",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"Seoul",1728347,1095660,632687,1287613,802917,484696,1290280,769325,520955,1427843,906192,521651,1597376,1058612,538764,1516805,1003216,513589,1487521,962497,525024,1511135,927749,583386,1778057,1078165,699892,1658102,1133013,525089,1693045,1166420,526625,1664905,1065674,599231,1636924,1044074,592850,1619991,1067098,552893,1765236,1237067,528169,1762615,1239770,522845,1880156,1316102,564054,1720410,1209710,510700,1620378,1063745,556633,1648541,1081067,567474,1898480,1293487,604993,1983437,1439959,543478,1965801,1481812,483989,2022992,1458744,564248,2068500,1414035,654465,1614767,1171632,443135,1918692,1367054,551638,1929560,1412644,516916,2059369,1521541,537828,1833389,1323797,509592,1887233,1327772,559461,1865013,1268580,596433,1928799,1329962,598837,2022004,1478501,543503,1959531,1440205,519326,2112618,1521828,590790,1952008,1308134,643874,1789799,1322231,467568,2039622,1498298,541324,2112473,1569778,542695,2241953,1686644,555309,2004878,1458940,545938,2080297,1486434,593863,1965423,1370821,594602,2178823,1508258,670565,2137686,1574169,563517,2252455,1669797,582658,2412071,1783361,628710,2125578,1492928,632650,2049380,1470041,579339,2236036,1636435,599601,2093959,1550273,543686,2234564,1646853,587711,2057340,1502862,554478,1999162,1438466,560696,2030276,1396700,633576,2155253,1529317,625936,2133874,1592404,541470,2295534,1719660,575874,2410179,1822923,587256,2344417,1628529,715888,1934859,1431638,503221,2216047,1615387,600660,2035213,1496589,538624,2266132,1682164,583968,2062466,1502629,559837,2045060,1478569,566491,2016418,1454762,561656,2221596,1622208,599388,2303285,1726050,577235,2431216,1876517,554699,2527683,1963673,564010,2467737,1864085,603652,2279136,1713070,566066,2355166,1831868,523298,2309221,1805109,504112
"Busan",504010,269791,234219,361206,186423,174783,355030,168017,187013,396520,209587,186933,457564,257714,199850,429426,245107,184319,426920,230887,196033,459094,238400,220694,506474,257390,249084,472468,279957,192511,480085,293811,186274,459256,248134,211122,479486,254671,224815,477460,257587,219873,486097,281607,204490,473335,277765,195570,525182,311931,213251,471881,273956,197925,479711,259591,220120,455313,235441,219872,524165,294720,229445,546008,341652,204356,532623,355756,176867,529422,327025,202397,574752,327026,247726,449492,281709,167783,511630,312261,199369,527143,338689,188454,566154,368311,197843,511671,322329,189342,543925,336483,207442,512007,290534,221473,562512,345071,217441,568447,369464,198983,540391,348021,192370,583283,363092,220191,580919,335928,244991,488656,320250,168406,550987,351599,199388,570502,376081,194421,597482,397834,199648,533119,334594,198525,565389,346751,218638,548248,326159,222089,594072,351193,242879,587907,384540,203367,593071,394540,198531,648169,433375,214794,571884,346722,225162,549376,341961,207415,595310,383789,211521,545653,357351,188302,591538,381853,209685,546681,349028,197653,544988,340032,204956,547640,318481,229159,591016,363893,227123,562834,370704,192130,597212,398858,198354,616861,414769,202092,632217,370862,261355,496395,323289,173106,579510,371797,207713,516934,332468,184466,590256,386275,203981,546990,346158,200832,546882,342728,204154,543314,338117,205197,591807,376772,215035,610847,402989,207858,614596,424757,189839,604091,412105,191986,610238,399431,210807,586702,383220,203482,592970,405661,187309,566087,388314,177773
"Daegu",360931,193382,167549,243490,121231,122259,211357,86234,125123,264217,135299,128918,318775,181675,137100,307351,174711,132640,302869,165843,137026,326302,173555,152747,369042,194708,174334,343677,207199,136478,347074,211619,135455,349812,193610,156202,346509,187125,159384,337067,182673,154394,345511,203730,141781,337576,200845,136731,365820,215542,150278,328839,192027,136812,333428,184046,149382,321455,173914,147541,375606,209493,166113,385086,238098,146988,369849,243565,126284,376292,228467,147825,409801,226492,183309,301443,184138,117305,350408,210380,140028,357041,219097,137944,381541,236693,144848,347722,207734,139988,374028,219293,154735,356729,197662,159067,379193,213395,165798,386629,239281,147348,359649,224651,134998,400371,246799,153572,405011,220348,184663,323605,196906,126699,363186,215754,147432,372936,229445,143491,388219,238067,150152,350168,200736,149432,373242,208324,164918,357945,196377,161568,396475,216308,180167,390295,234243,156052,389484,231243,158241,431834,261487,170347,382304,214740,167564,370432,209329,161103,399196,234950,164246,357134,211858,145276,393080,231183,161897,369747,211944,157803,373011,213683,159328,380973,206257,174716,395931,220301,175630,382972,234425,148547,395423,239220,156203,415898,254850,161048,442431,239764,202667,340437,204882,135555,390345,228926,161419,340447,198690,141757,383272,224926,158346,365821,210817,155004,362420,203833,158587,360829,205516,155313,387556,222734,164822,406440,244694,161746,400992,252577,148415,409158,257291,151867,411557,249545,162012,387489,232013,155476,379036,237812,141224,358066,225197,132869
"Incheon",226655,-,-,169993,-,-,175025,-,-,180178,-,-,185107,-,-,178298,-,-,187271,-,-,201708,-,-,233963,-,-,199930,-,-,197892,-,-,216295,-,-,215749,-,-,210412,-,-,206099,-,-,205308,-,-,220749,-,-,193252,-,-,209926,-,-,205398,-,-,232234,-,-,218299,-,-,198896,-,-,218940,-,-,236871,-,-,180480,-,-,212801,-,-,214777,-,-,222215,-,-,205405,-,-,215543,-,-,218468,-,-,237406,-,-,219828,-,-,202688,-,-,224096,-,-,238647,-,-,187162,-,-,218601,-,-,230962,-,-,242201,-,-,223225,-,-,244064,-,-,229461,-,-,266902,-,-,244856,-,-,251285,-,-,269684,-,-,251465,-,-,242123,-,-,255695,-,-,234662,-,-,258043,-,-,229181,-,-,229116,-,-,255003,-,-,279390,-,-,250042,-,-,267230,-,-,276176,-,-,312346,-,-,225012,-,-,267930,-,-,239519,-,-,270570,-,-,243029,-,-,246416,-,-,245015,-,-,284688,-,-,281059,-,-,265541,-,-,270721,-,-,280651,-,-,265667,-,-,260820,-,-,245913,-,-
"Gwangju",152935,75461,77474,105088,52845,52243,116026,57137,58889,127889,69040,58849,147426,83968,63458,133014,72915,60099,110517,51936,58581,131054,60676,70378,150399,71218,79181,147130,85902,61228,144128,84398,59730,139801,73663,66138,140005,69772,70233,141708,73196,68512,146106,85383,60723,146546,83589,62957,152508,85308,67200,135219,75288,59931,140081,70888,69193,139363,69243,70120,156436,86272,70164,161583,101757,59826,161348,106453,54895,162226,95819,66407,158814,86986,71828,129985,75653,54332,148247,87424,60823,159431,98931,60500,162890,99776,63114,151426,89801,61625,157247,89366,67881,152782,80679,72103,159663,94645,65018,161491,104381,57110,154914,96620,58294,160333,94358,65975,170991,92097,78894,135187,80165,55022,155101,91830,63271,162999,98222,64777,166433,100633,65800,145916,81697,64219,154029,81232,72797,151426,78474,72952,168051,85496,82555,165056,98747,66309,161516,94680,66836,175822,102018,73804,155310,82903,72407,155218,85098,70120,169000,98794,70206,150968,88420,62548,162294,92341,69953,147885,82974,64911,146068,78624,67444,150846,74086,76760,164223,88040,76183,155043,93297,61746,164671,97762,66909,167751,100580,67171,171341,88671,82670,129831,76810,53021,158182,92306,65876,140186,82424,57762,158011,93571,64440,142310,81387,60923,134935,73230,61705,135738,73783,61955,154372,86178,68194,167155,99731,67424,163134,102610,60524,161854,99151,62703,160390,92621,67769,149886,86802,63084,151536,97136,54400,144636,91277,53359
"Daejeon",195872,93409,102463,148507,72378,76129,145830,63816,82014,158786,76337,82449,182017,93241,88776,159540,80910,78630,145863,65079,80784,163968,70628,93340,190700,82575,108125,185995,100999,84996,189007,107153,81854,183048,89571,93477,179621,83633,95988,178052,84353,93699,188766,102801,85965,173468,90484,82984,187930,96783,91147,171879,90692,81187,169157,80668,88489,200743,112249,88494,251919,155165,96754,250956,164285,86671,239574,163533,76041,252192,163095,89097,257482,153833,103649,198247,128892,69355,226844,144013,82831,228290,147597,80693,236014,152963,83051,241970,162411,79559,242321,152947,89374,241293,152428,88865,264485,167554,96931,266095,182141,83954,254783,174006,80777,282786,184746,98040,262659,158368,104291,227612,153383,74229,250926,164649,86277,254434,169126,85308,262857,174121,88736,236105,150846,85259,236876,141935,94941,235279,143375,91904,260027,154717,105310,257197,168781,88416,262965,174842,88123,289744,192514,97230,241785,147184,94601,240907,148983,91924,267662,174565,93097,232023,150370,81653,250580,157999,92581,244759,158074,86685,228422,140086,88336,237025,139600,97425,247905,149310,98595,238661,155815,82846,261640,174635,87005,269730,178795,90935,274126,160689,113437,217030,141061,75969,256352,164490,91862,225260,145616,79644,249641,160182,89459,242951,156993,85958,225044,137359,87685,225088,138582,86506,244130,152381,91749,259275,168698,90577,282226,199142,83084,274299,188914,85385,269010,178536,90474,257189,168215,88974,254092,175581,78511,235422,160776,74646
"Ulsan",149503,69353,80150,111768,47476,64292,102192,39485,62707,120380,54320,66060,138662,64187,74475,122703,57294,65409,119414,52670,66744,128398,52528,75870,141208,58173,83035,134169,68449,65720,134411,70630,63781,127964,54688,73276,136747,61085,75662,132725,61112,71613,130735,63745,66990,126888,62305,64583,136171,65639,70532,124457,58972,65485,131239,58031,73208,124055,50826,73229,144032,66362,77670,145169,75876,69293,137541,76022,61519,135805,67019,68786,150475,70281,80194,111640,55239,56401,134410,67909,66501,132445,67497,64948,140915,71448,69467,126368,59363,67005,128664,57934,70730,124629,53114,71515,142429,63471,78958,136071,69740,66331,127369,63693,63676,140236,65653,74583,146556,64052,82504,119724,61987,57737,138574,71105,67469,141108,72441,68667,146874,74482,72392,137808,65096,72712,146075,65127,80948,131356,52820,78536,155297,68037,87260,148029,72271,75758,144933,70660,74273,150146,69651,80495,143309,63558,79751,139454,60399,79055,146701,67081,79620,129592,61863,67729,146779,69612,77167,135777,59788,75989,137533,58761,78772,136258,53211,83047,148227,64789,83438,134768,63716,71052,140725,66504,74221,144393,67323,77070,164971,66918,98053,117301,52685,64616,143414,65102,78312,123430,56689,66741,140221,64344,75877,129072,55742,73330,130658,55454,75204,125711,51115,74596,141126,63515,77611,147863,69728,78135,139299,69762,69537,139574,67627,71947,142502,68313,74189,135644,61074,74570,132814,66186,66628,121843,60721,61122
"Sejong",37212,-,37212,31558,-,31558,32017,-,32017,34818,-,34818,36941,-,36941,33912,-,33912,35437,-,35437,39228,-,39228,44672,-,44672,38331,-,38331,36662,-,36662,43393,-,43393,43236,-,43236,39817,-,39817,39668,-,39668,38643,-,38643,42760,-,42760,38636,-,38636,41317,-,41317,41380,-,41380,43711,-,43711,42290,-,42290,35729,-,35729,44269,-,44269,52661,-,52661,35566,-,35566,42169,-,42169,41898,-,41898,43910,-,43910,41732,-,41732,44362,-,44362,41482,-,41482,47553,-,47553,44218,-,44218,41363,-,41363,48679,-,48679,49908,-,49908,37556,-,37556,43274,-,43274,44657,-,44657,45987,-,45987,45204,-,45204,48103,-,48103,46649,-,46649,49320,-,49320,46476,-,46476,46492,-,46492,52207,-,52207,48466,-,48466,47845,-,47845,49897,-,49897,44342,-,44342,49902,-,49902,48740,-,48740,48116,-,48116,52188,-,52188,52353,-,52353,48184,-,48184,49917,-,49917,53666,-,53666,61838,-,61838,44877,-,44877,54260,-,54260,47155,-,47155,52466,-,52466,50875,-,50875,50768,-,50768,50638,-,50638,52394,-,52394,53808,-,53808,49651,-,49651,53044,-,53044,54272,-,54272,52592,-,52592,49376,-,49376,45504,-,45504
