"by product group",2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02,2026.03 p),2026.04 p)
"by product group",Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales,Value sales
"Total",46292231,40394907,43049781,43474310,47323916,46610873,44613073,45251651,48785050,46589052,47437579,48104072,45814922,44007398,48651866,48570295,50050353,48664608,49310279,48397208,51841744,51789583,51776800,53503124,50528098,45581218,52237531,51665871,53896462,51766835,52148997,52505801,53641202,53988534,53353877,54237422,51806506,48625429,54082837,52509301,54970668,53155035,51675191,52316197,55083929,54904362,55800394,56028385,52271327,50144501,54167072,52739498,54843752,52607453,52555663,52357203,54577376,54386792,55014849,55859022,53164804,49774993,55082021,53362431,55145292,53354043,54769150,53084992,56873548,55971486,56693120,57790650,54326819,52524131,59170461,55824681
"Total (excluding passenger cars)",42931423,37512226,38042761,38283571,42051757,40360949,39693120,40795805,43760161,41551666,41909741,42610081,41279259,39939236,43029972,43135617,44687477,42883571,44171806,43869054,47704237,47325577,46993949,48083955,46780526,41259204,46932725,46478235,48594438,46400752,47242941,47505576,48370967,48647070,47458181,48168702,47647470,43423441,47920215,46955023,49243961,46584897,46576204,47199151,49835777,49791801,49635880,50006240,47994486,45731758,48574303,47422392,49465893,47209813,47431287,47333014,49121345,48698040,49257919,50294603,48928521,44466190,48989779,47299823,49167349,47255366,49008396,47378345,50231459,50710938,50623045,51539871,49343127,47262237,52138097,49626838
"Durable goods",10508109,10203513,12317125,12435710,13317256,14295181,12610697,13036668,12674181,12777261,13728873,13658233,12878497,11666334,14022676,13518559,13617717,13885088,13729481,13231423,12169250,13275746,13506963,14180534,11783110,12697544,13737097,13110607,13510811,13229623,13041027,13320391,12817582,13414773,13825225,13653791,11590025,13157954,14033756,13068030,13821934,14488106,13307296,13643690,12429619,13368269,14276841,14021924,12752852,12115681,13486855,12832798,13343495,13277623,13668913,12779656,13278826,13334927,13529498,13259272,11506876,13672472,13842843,13342564,13866025,13847882,14580907,13531154,14861138,12853725,14047705,14199966,13130013,12678680,16262148,13850508
"Passenger cars",3360808,2882681,5007020,5190739,5272159,6249924,4919953,4455846,5024889,5037386,5527838,5493991,4535663,4068162,5621894,5434678,5362876,5781037,5138473,4528154,4137507,4464006,4782851,5419169,3747572,4322014,5304806,5187636,5302024,5366083,4906056,5000225,5270235,5341464,5895696,6068720,4159036,5201988,6162622,5554278,5726707,6570138,5098987,5117046,5248152,5112561,6164514,6022145,4276841,4412743,5592769,5317106,5377859,5397640,5124376,5024189,5456031,5688752,5756930,5564419,4236283,5308803,6092242,6062608,5977943,6098677,5760754,5706647,6642089,5260548,6070075,6250779,4983692,5261894,7032364,6197843
"Household appliances",2340262,2528810,2617531,2688298,3227525,3385577,2956646,3489780,2914797,2985322,3244435,3084824,3116470,2832887,3195789,3009200,3291992,3233913,3616252,3257179,2908362,3270432,3297538,3178012,3059535,2996295,3040248,2919448,3089662,3083933,3339837,3087748,2742449,2932085,2892934,2623205,2483407,2447015,2506340,2521620,2976248,2941945,3144003,2992804,2416034,2585114,2824259,2581550,2573380,2305678,2423084,2559239,2786642,2865714,2946640,2750048,2362756,2388752,2607962,2304139,2188410,2182852,2303678,2284960,2572686,2649575,2995547,2446436,2296883,2203984,2416383,2275552,2275366,2114662,2640477,2301407
"Telecommunication equipment & Computer",2307017,2346377,2405774,2212008,2239343,2092481,2158768,2557305,2278295,2222335,2348824,2302023,2529307,2251416,2323391,2155959,2103885,2016670,2101409,2526416,2325162,2489033,2406262,2346337,2199205,2609318,2415545,2144086,2118572,1984453,1977274,2382737,2044260,2370129,2172048,2020536,2428492,2974542,2561408,2210846,2252418,2135901,2176924,2778379,2102823,2849773,2455062,2277925,3027574,2531180,2356403,2075476,2129829,2079224,2557181,2134861,2595880,2332793,2262513,2215254,2271084,3219451,2325440,2074875,2264249,2101751,2711923,2311678,2764203,2285137,2388235,2252629,2470044,2158923,3007787,2066649
"Furniture",753552,833043,869061,911100,932450,873840,877764,912082,917899,975421,962285,1008047,972858,914919,1036187,988603,970175,915594,935826,956966,926961,1071822,1004927,1014527,978031,932820,995102,927222,876898,837752,835993,863746,836445,894295,832470,849533,787377,879289,889243,822123,847721,832993,850972,881697,802446,900737,897696,921589,996630,978653,1041061,910216,949997,946574,911071,927925,871594,960626,969041,974205,894169,1004437,978862,860450,886314,899750,905503,919913,881657,886915,925339,962248,962577,907520,990523,868915
"The others(Durable goods)",1746470,1612602,1417739,1433565,1645779,1693358,1697565,1621654,1538300,1556797,1645491,1769349,1724199,1598950,1845415,1930119,1888789,1937874,1937521,1962708,1871258,1980452,2015384,2222489,1798767,1837096,1981397,1932215,2123655,1957401,1981866,1985935,1924192,1876800,2032078,2091798,1731713,1655120,1914143,1959163,2018840,2007129,2036410,1873764,1860164,1920084,1935310,2218715,1878427,1887427,2073538,1970761,2099168,1988471,2129645,1942633,1992565,1964004,1933052,2201255,1916930,1956929,2142621,2059671,2164833,2098129,2207180,2146480,2276306,2217141,2247673,2458758,2438334,2235681,2590997,2415694
